Date,Category,IncidntNum
08/01/2005 12:00:00 AM,VANDALISM,616
07/01/2013 12:00:00 AM,BURGLARY,534
09/01/2014 12:00:00 AM,VEHICLE THEFT,496
09/01/2011 12:00:00 AM,VANDALISM,525
06/01/2013 12:00:00 AM,VANDALISM,561
12/01/2009 12:00:00 AM,VANDALISM,682
10/01/2011 12:00:00 AM,LARCENY/THEFT,2327
01/01/2012 12:00:00 AM,ARSON,29
08/01/2011 12:00:00 AM,BURGLARY,466
02/01/2012 12:00:00 AM,STOLEN PROPERTY,71
05/01/2013 12:00:00 AM,VEHICLE THEFT,503
05/01/2005 12:00:00 AM,ARSON,13
04/01/2011 12:00:00 AM,ARSON,23
06/01/2012 12:00:00 AM,BURGLARY,495
04/01/2006 12:00:00 AM,VANDALISM,741
09/01/2009 12:00:00 AM,ARSON,18
10/01/2009 12:00:00 AM,BURGLARY,430
07/01/2010 12:00:00 AM,BURGLARY,432
11/01/2014 12:00:00 AM,VEHICLE THEFT,566
06/01/2007 12:00:00 AM,LARCENY/THEFT,2196
04/01/2014 12:00:00 AM,ARSON,18
10/01/2014 12:00:00 AM,VEHICLE THEFT,704
11/01/2009 12:00:00 AM,VANDALISM,684
03/01/2011 12:00:00 AM,VEHICLE THEFT,465
10/01/2006 12:00:00 AM,VEHICLE THEFT,628
11/01/2011 12:00:00 AM,ARSON,17
01/01/2008 12:00:00 AM,VANDALISM,642
12/01/2011 12:00:00 AM,VANDALISM,630
12/01/2015 12:00:00 AM,ARSON,19
01/01/2009 12:00:00 AM,STOLEN PROPERTY,46
09/01/2006 12:00:00 AM,STOLEN PROPERTY,44
10/01/2008 12:00:00 AM,LARCENY/THEFT,2420
12/01/2013 12:00:00 AM,ARSON,10
03/01/2007 12:00:00 AM,VEHICLE THEFT,511
10/01/2007 12:00:00 AM,VEHICLE THEFT,619
12/01/2012 12:00:00 AM,LARCENY/THEFT,2744
07/01/2008 12:00:00 AM,VANDALISM,601
03/01/2015 12:00:00 AM,VEHICLE THEFT,626
06/01/2011 12:00:00 AM,VEHICLE THEFT,350
08/01/2011 12:00:00 AM,STOLEN PROPERTY,81
12/01/2014 12:00:00 AM,LARCENY/THEFT,3670
03/01/2005 12:00:00 AM,VANDALISM,585
08/01/2007 12:00:00 AM,VEHICLE THEFT,707
04/01/2013 12:00:00 AM,VEHICLE THEFT,440
11/01/2015 12:00:00 AM,ARSON,25
11/01/2007 12:00:00 AM,VANDALISM,596
07/01/2013 12:00:00 AM,STOLEN PROPERTY,104
09/01/2013 12:00:00 AM,BURGLARY,568
01/01/2013 12:00:00 AM,VEHICLE THEFT,523
08/01/2013 12:00:00 AM,ARSON,17
07/01/2015 12:00:00 AM,VANDALISM,773
10/01/2009 12:00:00 AM,STOLEN PROPERTY,59
07/01/2010 12:00:00 AM,STOLEN PROPERTY,50
01/01/2011 12:00:00 AM,LARCENY/THEFT,2109
01/01/2014 12:00:00 AM,VEHICLE THEFT,517
08/01/2010 12:00:00 AM,ARSON,22
06/01/2008 12:00:00 AM,LARCENY/THEFT,1976
06/01/2012 12:00:00 AM,STOLEN PROPERTY,61
06/01/2006 12:00:00 AM,LARCENY/THEFT,2272
10/01/2013 12:00:00 AM,LARCENY/THEFT,3370
02/01/2012 12:00:00 AM,BURGLARY,464
02/01/2007 12:00:00 AM,ARSON,12
10/01/2010 12:00:00 AM,VEHICLE THEFT,359
04/01/2005 12:00:00 AM,ARSON,24
01/01/2015 12:00:00 AM,LARCENY/THEFT,3715
03/01/2006 12:00:00 AM,VEHICLE THEFT,565
12/01/2007 12:00:00 AM,VANDALISM,539
05/01/2006 12:00:00 AM,LARCENY/THEFT,2344
08/01/2009 12:00:00 AM,VANDALISM,714
07/01/2005 12:00:00 AM,VANDALISM,643
05/01/2010 12:00:00 AM,VEHICLE THEFT,271
07/01/2014 12:00:00 AM,VEHICLE THEFT,650
12/01/2005 12:00:00 AM,LARCENY/THEFT,2083
12/01/2010 12:00:00 AM,VANDALISM,570
02/01/2009 12:00:00 AM,BURGLARY,389
08/01/2008 12:00:00 AM,ARSON,24
05/01/2012 12:00:00 AM,VANDALISM,606
01/01/2011 12:00:00 AM,VEHICLE THEFT,339
01/01/2014 12:00:00 AM,LARCENY/THEFT,2941
06/01/2006 12:00:00 AM,VEHICLE THEFT,651
10/01/2013 12:00:00 AM,VEHICLE THEFT,567
06/01/2008 12:00:00 AM,VEHICLE THEFT,427
08/01/2014 12:00:00 AM,STOLEN PROPERTY,92
10/01/2005 12:00:00 AM,ARSON,18
03/01/2013 12:00:00 AM,ARSON,22
05/01/2007 12:00:00 AM,STOLEN PROPERTY,44
01/01/2015 12:00:00 AM,VEHICLE THEFT,606
03/01/2006 12:00:00 AM,LARCENY/THEFT,2335
05/01/2014 12:00:00 AM,BURGLARY,485
09/01/2005 12:00:00 AM,ARSON,17
10/01/2010 12:00:00 AM,LARCENY/THEFT,2142
09/01/2007 12:00:00 AM,VANDALISM,639
02/01/2015 12:00:00 AM,BURGLARY,481
10/01/2015 12:00:00 AM,VANDALISM,674
05/01/2010 12:00:00 AM,LARCENY/THEFT,1933
07/01/2014 12:00:00 AM,LARCENY/THEFT,3189
12/01/2005 12:00:00 AM,VEHICLE THEFT,1321
05/01/2006 12:00:00 AM,VEHICLE THEFT,547
03/01/2012 12:00:00 AM,STOLEN PROPERTY,69
12/01/2008 12:00:00 AM,BURGLARY,525
10/01/2012 12:00:00 AM,BURGLARY,594
02/01/2010 12:00:00 AM,ARSON,9
06/01/2015 12:00:00 AM,VANDALISM,662
10/01/2008 12:00:00 AM,VEHICLE THEFT,576
07/01/2011 12:00:00 AM,VANDALISM,598
06/01/2009 12:00:00 AM,ARSON,15
02/01/2013 12:00:00 AM,STOLEN PROPERTY,79
03/01/2007 12:00:00 AM,LARCENY/THEFT,2065
11/01/2008 12:00:00 AM,ARSON,20
09/01/2010 12:00:00 AM,STOLEN PROPERTY,49
04/01/2009 12:00:00 AM,BURGLARY,491
11/01/2010 12:00:00 AM,STOLEN PROPERTY,57
03/01/2010 12:00:00 AM,ARSON,19
12/01/2012 12:00:00 AM,VEHICLE THEFT,553
03/01/2015 12:00:00 AM,LARCENY/THEFT,3820
06/01/2011 12:00:00 AM,LARCENY/THEFT,2041
02/01/2006 12:00:00 AM,ARSON,13
12/01/2006 12:00:00 AM,BURGLARY,580
11/01/2012 12:00:00 AM,ARSON,18
10/01/2007 12:00:00 AM,LARCENY/THEFT,2292
04/01/2013 12:00:00 AM,LARCENY/THEFT,2904
11/01/2005 12:00:00 AM,BURGLARY,511
04/01/2015 12:00:00 AM,VANDALISM,587
07/01/2007 12:00:00 AM,ARSON,29
04/01/2007 12:00:00 AM,ARSON,20
12/01/2014 12:00:00 AM,VEHICLE THEFT,586
05/01/2009 12:00:00 AM,BURGLARY,441
07/01/2006 12:00:00 AM,STOLEN PROPERTY,37
08/01/2007 12:00:00 AM,LARCENY/THEFT,2463
01/01/2013 12:00:00 AM,LARCENY/THEFT,2932
04/01/2008 12:00:00 AM,ARSON,20
09/01/2012 12:00:00 AM,VANDALISM,687
03/01/2008 12:00:00 AM,VANDALISM,653
11/01/2006 12:00:00 AM,VANDALISM,560
04/01/2010 12:00:00 AM,BURGLARY,436
09/01/2008 12:00:00 AM,VANDALISM,579
07/01/2007 12:00:00 AM,STOLEN PROPERTY,37
12/01/2010 12:00:00 AM,LARCENY/THEFT,2129
05/01/2012 12:00:00 AM,LARCENY/THEFT,2559
09/01/2015 12:00:00 AM,BURGLARY,467
07/01/2006 12:00:00 AM,ARSON,24
01/01/2014 12:00:00 AM,VANDALISM,577
04/01/2007 12:00:00 AM,STOLEN PROPERTY,48
04/01/2008 12:00:00 AM,STOLEN PROPERTY,31
02/01/2011 12:00:00 AM,BURGLARY,315
06/01/2009 12:00:00 AM,STOLEN PROPERTY,52
02/01/2013 12:00:00 AM,ARSON,23
03/01/2006 12:00:00 AM,VANDALISM,621
03/01/2009 12:00:00 AM,BURGLARY,499
12/01/2007 12:00:00 AM,VEHICLE THEFT,493
11/01/2010 12:00:00 AM,ARSON,17
10/01/2010 12:00:00 AM,VANDALISM,680
09/01/2007 12:00:00 AM,LARCENY/THEFT,2391
06/01/2005 12:00:00 AM,BURGLARY,586
03/01/2010 12:00:00 AM,STOLEN PROPERTY,56
10/01/2015 12:00:00 AM,LARCENY/THEFT,3268
11/01/2008 12:00:00 AM,STOLEN PROPERTY,46
09/01/2010 12:00:00 AM,ARSON,19
02/01/2005 12:00:00 AM,BURGLARY,547
05/01/2010 12:00:00 AM,VANDALISM,719
02/01/2008 12:00:00 AM,BURGLARY,382
07/01/2014 12:00:00 AM,VANDALISM,616
11/01/2012 12:00:00 AM,STOLEN PROPERTY,93
08/01/2009 12:00:00 AM,VEHICLE THEFT,489
02/01/2006 12:00:00 AM,STOLEN PROPERTY,46
07/01/2005 12:00:00 AM,VEHICLE THEFT,1429
06/01/2015 12:00:00 AM,LARCENY/THEFT,3758
07/01/2011 12:00:00 AM,LARCENY/THEFT,2098
03/01/2007 12:00:00 AM,VANDALISM,682
09/01/2005 12:00:00 AM,STOLEN PROPERTY,36
03/01/2015 12:00:00 AM,VANDALISM,678
07/01/2008 12:00:00 AM,VEHICLE THEFT,460
06/01/2011 12:00:00 AM,VANDALISM,571
02/01/2010 12:00:00 AM,STOLEN PROPERTY,51
10/01/2007 12:00:00 AM,VANDALISM,690
03/01/2012 12:00:00 AM,ARSON,12
04/01/2013 12:00:00 AM,VANDALISM,610
08/01/2008 12:00:00 AM,STOLEN PROPERTY,52
03/01/2014 12:00:00 AM,BURGLARY,563
04/01/2015 12:00:00 AM,LARCENY/THEFT,3482
01/01/2005 12:00:00 AM,BURGLARY,698
03/01/2005 12:00:00 AM,VEHICLE THEFT,1476
08/01/2007 12:00:00 AM,VANDALISM,604
01/01/2013 12:00:00 AM,VANDALISM,566
07/01/2015 12:00:00 AM,VEHICLE THEFT,633
03/01/2013 12:00:00 AM,STOLEN PROPERTY,88
09/01/2012 12:00:00 AM,LARCENY/THEFT,2978
03/01/2008 12:00:00 AM,LARCENY/THEFT,2222
05/01/2007 12:00:00 AM,ARSON,29
11/01/2006 12:00:00 AM,LARCENY/THEFT,2110
09/01/2008 12:00:00 AM,LARCENY/THEFT,2224
10/01/2005 12:00:00 AM,STOLEN PROPERTY,49
11/01/2007 12:00:00 AM,VEHICLE THEFT,544
08/01/2014 12:00:00 AM,ARSON,20
12/01/2015 12:00:00 AM,BURGLARY,524
10/01/2008 12:00:00 AM,VANDALISM,711
11/01/2011 12:00:00 AM,BURGLARY,475
07/01/2011 12:00:00 AM,VEHICLE THEFT,274
04/01/2005 12:00:00 AM,STOLEN PROPERTY,41
12/01/2012 12:00:00 AM,VANDALISM,598
07/01/2008 12:00:00 AM,LARCENY/THEFT,2196
04/01/2014 12:00:00 AM,BURGLARY,485
09/01/2009 12:00:00 AM,BURGLARY,415
10/01/2009 12:00:00 AM,ARSON,14
07/01/2010 12:00:00 AM,ARSON,18
12/01/2014 12:00:00 AM,VANDALISM,622
03/01/2005 12:00:00 AM,LARCENY/THEFT,2035
08/01/2010 12:00:00 AM,STOLEN PROPERTY,66
04/01/2015 12:00:00 AM,VEHICLE THEFT,728
06/01/2012 12:00:00 AM,ARSON,21
09/01/2012 12:00:00 AM,VEHICLE THEFT,548
03/01/2008 12:00:00 AM,VEHICLE THEFT,527
05/01/2005 12:00:00 AM,BURGLARY,622
04/01/2011 12:00:00 AM,BURGLARY,377
11/01/2006 12:00:00 AM,VEHICLE THEFT,604
09/01/2008 12:00:00 AM,VEHICLE THEFT,579
11/01/2007 12:00:00 AM,LARCENY/THEFT,2029
02/01/2007 12:00:00 AM,STOLEN PROPERTY,33
07/01/2015 12:00:00 AM,LARCENY/THEFT,3879
08/01/2011 12:00:00 AM,ARSON,17
01/01/2012 12:00:00 AM,BURGLARY,471
01/01/2011 12:00:00 AM,VANDALISM,663
12/01/2010 12:00:00 AM,VEHICLE THEFT,373
11/01/2015 12:00:00 AM,STOLEN PROPERTY,65
05/01/2012 12:00:00 AM,VEHICLE THEFT,455
06/01/2008 12:00:00 AM,VANDALISM,567
07/01/2013 12:00:00 AM,ARSON,25
08/01/2013 12:00:00 AM,STOLEN PROPERTY,129
06/01/2006 12:00:00 AM,VANDALISM,602
10/01/2013 12:00:00 AM,VANDALISM,587
09/01/2006 12:00:00 AM,ARSON,27
09/01/2007 12:00:00 AM,VEHICLE THEFT,692
10/01/2015 12:00:00 AM,VEHICLE THEFT,710
01/01/2009 12:00:00 AM,ARSON,20
12/01/2013 12:00:00 AM,STOLEN PROPERTY,103
01/01/2015 12:00:00 AM,VANDALISM,616
12/01/2007 12:00:00 AM,LARCENY/THEFT,2033
05/01/2006 12:00:00 AM,VANDALISM,678
08/01/2009 12:00:00 AM,LARCENY/THEFT,2509
07/01/2005 12:00:00 AM,LARCENY/THEFT,2307
06/01/2015 12:00:00 AM,VEHICLE THEFT,717
05/01/2011 12:00:00 AM,BURGLARY,406
12/01/2005 12:00:00 AM,VANDALISM,558
06/01/2010 12:00:00 AM,LARCENY/THEFT,1961
06/01/2014 12:00:00 AM,LARCENY/THEFT,2742
08/01/2015 12:00:00 AM,VEHICLE THEFT,630
11/01/2011 12:00:00 AM,STOLEN PROPERTY,76
05/01/2015 12:00:00 AM,LARCENY/THEFT,3846
04/01/2005 12:00:00 AM,BURGLARY,551
07/01/2009 12:00:00 AM,LARCENY/THEFT,2327
12/01/2015 12:00:00 AM,STOLEN PROPERTY,71
02/01/2014 12:00:00 AM,VANDALISM,546
02/01/2012 12:00:00 AM,ARSON,16
02/01/2007 12:00:00 AM,BURGLARY,382
11/01/2013 12:00:00 AM,LARCENY/THEFT,3030
05/01/2008 12:00:00 AM,VEHICLE THEFT,510
07/01/2012 12:00:00 AM,VANDALISM,675
05/01/2005 12:00:00 AM,STOLEN PROPERTY,56
08/01/2012 12:00:00 AM,VEHICLE THEFT,573
04/01/2011 12:00:00 AM,STOLEN PROPERTY,55
08/01/2005 12:00:00 AM,LARCENY/THEFT,2406
08/01/2010 12:00:00 AM,BURGLARY,403
09/01/2011 12:00:00 AM,LARCENY/THEFT,2077
06/01/2013 12:00:00 AM,LARCENY/THEFT,2711
12/01/2009 12:00:00 AM,LARCENY/THEFT,2166
10/01/2011 12:00:00 AM,VANDALISM,595
